x,result
-8.0,6.79971145522032
-7.75,-9.58239740345615
-7.5,-2.706013866772763
-7.25,-1.449279530126826
-7.0,-0.8714479827243109
-6.75,-0.5039651470083475
-6.5,-0.2202772003458979
-6.25,0.033197494483011215
-6.0,0.29100619138474865
-5.75,0.5902038468644898
-5.5,0.9955840522138845
-5.25,1.677326406624388
-5.0,3.380515006246587
-4.75,26.575414231000078
-4.5,-4.6373320545511705
-4.25,-2.006309027858061
-4.0,-1.1578212823495886
-3.75,-0.6965508511114614
-3.5,-0.37458564015858586
-3.25,-0.10883402551333089
-3.0,0.14254654307427866
-2.75,0.41291789448492555
-2.5,0.7470222972386565
-2.25,1.2386276162241052
-2.0,2.1850398632615433
-1.75,5.520379922509299
-1.5,-14.101419947171433
-1.25,-3.009569673862943
-1.0,-1.5574077246549
-0.75,-0.9315964599440597
-0.5,-0.54630248984379
-0.25,-0.25534192122103777
0.0,0.0
0.25,0.25534192122103583
0.5,0.5463024898437906
0.75,0.9315964599440727
1.0,1.557407724654897
1.25,3.0095696738628344
1.5,14.10141994717173
1.75,-5.520379922509308
2.0,-2.1850398632615193
2.25,-1.238627616224104
2.5,-0.7470222972386602
2.75,-0.41291789448492566
3.0,-0.14254654307427847
3.25,0.10883402551333099
3.5,0.3745856401585859
3.75,0.6965508511114582
4.0,1.1578212823495893
4.25,2.006309027858074
4.5,4.6373320545511545
4.75,-26.575414230998682
5.0,-3.3805150062465805
5.25,-1.6773264066243934
5.5,-0.9955840522138845
5.75,-0.5902038468644891
6.0,-0.29100619138474887
6.25,-0.033197494483011215
6.5,0.22027720034589648
6.75,0.5039651470083479
7.0,0.8714479827243196
7.25,1.4492795301268224
7.5,2.706013866772696
7.75,9.582397403456241
8.0,-6.799711455220353
