x,result
-8.0,NaN
-7.75,NaN
-7.5,NaN
-7.25,NaN
-7.0,NaN
-6.75,NaN
-6.5,NaN
-6.25,NaN
-6.0,NaN
-5.75,NaN
-5.5,NaN
-5.25,NaN
-5.0,NaN
-4.75,NaN
-4.5,NaN
-4.25,NaN
-4.0,NaN
-3.75,NaN
-3.5,NaN
-3.25,NaN
-3.0,NaN
-2.75,NaN
-2.5,NaN
-2.25,NaN
-2.0,NaN
-1.75,NaN
-1.5,NaN
-1.25,NaN
-1.0,NaN
-0.75,NaN
-0.5,NaN
-0.25,NaN
0.0,NaN
0.25,-2.000000000001757
0.5,-1.0
0.75,-0.41503749927941874
1.0,0.0
1.25,0.32192809488775204
1.5,0.584962500721794
1.75,0.8073549220585942
2.0,1.0
2.25,1.1699250014432747
2.5,1.3219280948888843
2.75,1.45943161863815
3.0,1.5849625007227643
3.25,1.7004397181419115
3.5,1.8073549220592826
3.75,1.9068905956093818
4.0,2.000000000001757
4.25,2.087462841251298
4.5,2.1699250014441565
4.75,2.247927513444668
5.0,2.3219280948893037
5.25,2.3923174227799815
5.5,2.459431618639339
5.75,2.5235619560583804
6.0,2.5849625007233046
6.25,2.6438561897762365
6.5,2.7004397181433433
6.75,2.754887502165125
7.0,2.807354922059962
7.25,2.8579809951293687
7.5,2.906890595609592
7.75,2.9541963103888076
8.0,3.0000000000012643
